saksnr,stasjon,omradeplan,prisomrade,statnetts_kunde,sluttkunde,naringstype,moden_bestilling_dato,kapasitet_ko_mw,onsket_tilknytning,kundens_referanse,kunde_og_tilknytningsansvarlig
25/02231,Follo,"Oslo, Akershus og Østfold",NO1,Elvia As,Bulk Data Centers AS,Datasenter,2025-11-27,80.0,2027-04-01,,Heidi Hellesvik Ringstad
25/02232,Samnanger,Bergen og Haugalandet,NO5,BKK AS,Regn / Kitebrook,Datasenter,2024-11-18,100.0,2025-03-31,,Magnus Tennøe
25/02281,Bardufoss Transformatorstasjon,Nord,NO4,Arva AS,FORSVARSBYGG,Annet forbruk,2025-05-20,4.0,2026-04-01,,Lars Erik Johansen
25/02288,Salten transformatorstasjon,Helgeland og Salten,NO4,Arva AS,VARTDAL PLAST BODØ AS,Annet forbruk,2023-07-06,2.0,2026-01-01,,Ingvild Grøtterud Birkeland
25/02300,Vardal,Innlandet,NO1,Elvia As,Nammo Raufoss AS,Industri,2024-10-30,1.0,2027-01-01,,Heidi Hellesvik Ringstad
25/02301,Vardal,Innlandet,NO1,Elvia As,Nammo Raufoss AS,Industri,2024-10-30,1.0,2026-01-01,,Heidi Hellesvik Ringstad
25/02337,Fana Transformatorstasjon,Bergen og Haugalandet,NO5,BKK AS,TINE SA,Transport,2025-08-25,1.6,2025-07-01,,Magnus Tennøe
25/02347,Fana Transformatorstasjon,Bergen og Haugalandet,NO5,BKK AS,PLUG AS,Transport,2025-08-29,4.99,2026-07-01,,Magnus Tennøe
25/02362,Nedre Røssåga,Helgeland og Salten,NO4,Linea AS,Aaktik Digital AS,Datasenter,2025-10-20,250.0,2028-07-01,,Ingvild Grøtterud Birkeland
25/02369,Førre,Bergen og Haugalandet,NO2,Fagne AS,MOWI ASA,Oppdrettsnæring,2026-01-12,1.6,2026-07-01,,Magnus Tennøe
25/02389,Arendal Industrinett,Sør Rogaland og Agder,NO2,Glitre Nett AS,Bulk Data Center AS,Datasenter,2025-09-04,150.0,2028-12-31,,Geir Kåsa
25/02396,Husnes,Bergen og Haugalandet,NO2,Hydro Aluminium As,Hydro Aluminium AS,Industri,2025-05-28,33.0,2034-12-31,,Magnus Tennøe
25/02516,Salten transformatorstasjon,Helgeland og Salten,NO4,Arva AS,FJUEL BODØ AS,Transport,2025-03-21,2.0,2026-04-01,,Ingvild Grøtterud Birkeland
25/02523,Spanne,Bergen og Haugalandet,NO2,Fagne AS,AtNorth AS,Datasenter,2025-12-16,120.0,2028-03-31,,Magnus Tennøe
25/02544,Stokmarknes,Nord,NO4,Noranett AS,AVINOR AS,Transport,2023-02-20,2.8,2030-10-01,,Lars Erik Johansen
25/02545,Blåfalli,Bergen og Haugalandet,NO2,Fagne AS,ARCEM GO-DC2 AS,Datasenter,2026-01-22,40.0,2032-04-01,,Magnus Tennøe
25/02563,Furuset,"Oslo, Akershus og Østfold",NO1,Elvia As,S Lauritzen & Co AS,Transport,2025-11-09,1.6,2025-10-01,,Heidi Hellesvik Ringstad
25/02588,Stokmarknes,Nord,NO4,Noranett AS,STOKMARKNES MILJØHAVN AS,Annet forbruk,2024-02-29,3.0,2026-10-01,,Lars Erik Johansen
25/02589,Stokmarknes,Nord,NO4,Noranett AS,STOKMARKNES MILJØHAVN AS,Annet forbruk,2024-02-29,4.0,2026-10-01,,Lars Erik Johansen
25/02590,Stokmarknes,Nord,NO4,Noranett AS,NORDLAKS EIENDOM AS,Oppdrettsnæring,2024-02-09,5.6,2026-04-01,,Lars Erik Johansen
25/02592,Melbu,Nord,NO4,Noranett AS,NORDLAND FYLKESKOMMUNE,Transport,2024-12-01,4.0,2027-10-01,,Lars Erik Johansen
25/02625,Ballangen,Nord,NO4,Nordkraft Industrinett,Aker Nscale,Datasenter,2025-11-02,140.0,2027-10-31,,Lars Erik Johansen
25/02674,Stokmarknes,Nord,NO4,Noranett AS,Gridcore Energy Storage AS,Batteriproduksjon,2025-10-22,15.0,2026-04-01,,Lars Erik Johansen
