Saksnr.,Stasjon for tilknytning i transmisjonsnettet,Områdeplan,Prisområde,Statnetts kunde,Sluttkunde,Næringstype,Dato - moden bestilling fra sluttkunde,Kapasitet i kø (MW),Kundens ønskede dato for tilknytning,Kundens referanse,Kunde og tilknytningsansvarlig
25/01920,Minne,Innlandet,NO1,Elvia As,Arcem SK-DC1 AS,Datasenter,10.11.2024,75,30.12.2026,,Heidi Hellesvik Ringstad
25/01925,Rana,Helgeland og Salten,NO4,Linea AS,Freyr / T1 Energy,Datasenter,31.12.2024,396,31.03.2026,,Ingvild Grøtterud Birkeland
25/01938,Furuset,"Oslo, Akershus og Østfold",NO1,Elvia As,Bulk Data Centers OS-IX AS,Datasenter,22.12.2024,"19,3",29.06.2026,,Heidi Hellesvik Ringstad
25/01947,Balsfjord,Nord,NO4,Arva AS,Northern DC AS,Datasenter,14.01.2025,"4,72",01.05.2029,,Lars Erik Johansen
25/01950,Stølaheia,Sør Rogaland og Agder,NO2,Lnett AS,Stavangerregionen Havn IKS,Transport,24.01.2025,6,01.03.2026,,Ingvild Grøtterud Birkeland
25/01967,Ålfoten,Sogn og Sunnmøre,NO3,Linja AS,Lefdal Mine Datasenter,Datasenter,17.10.2024,120,28.12.2034,,Hans Olav Ween
25/01983,Frogner,"Oslo, Akershus og Østfold",NO1,Elvia As,Bulk Infrastructure Group AS,Datasenter,19.12.2024,88,29.09.2028,,Heidi Hellesvik Ringstad
25/01992,Vardal,Innlandet,NO1,Elvia As,Eidsiva Bredbånd Gjøvik,Datasenter,21.11.2024,4,30.03.2026,,Heidi Hellesvik Ringstad
25/02010,Tegneby,"Oslo, Akershus og Østfold",NO1,Elvia As,STATENS VEGVESEN,Transport,03.12.2024,10,01.04.2028,,Heidi Hellesvik Ringstad
25/02012,Kilbotn,Nord,NO4,Noranett AS,Sunde AS,Industri,02.02.2025,4,25.06.2026,,Lars Erik Johansen
25/02013,Skaidi,Nord,NO4,Area Nett AS,Nordkappregionen Havn Honningsvåg,Transport,25.02.2025,16,25.06.2026,,Lars Erik Johansen
25/02014,Frogner,"Oslo, Akershus og Østfold",NO1,Elvia As,Ferskvarehuset AS,Annet forbruk,09.02.2025,4,14.08.2025,,Heidi Hellesvik Ringstad
25/02030,Nes GE,Hallingdal og Ringerike,NO5,Glitre Nett AS,STORMVIND AS,Annet forbruk,25.08.2025,10,29.09.2026,,Heidi Hellesvik Ringstad
25/02032,Ringerike,Hallingdal og Ringerike,NO1,Glitre Nett AS,Acrem DC 10 AS,Datasenter,24.05.2025,60,29.06.2029,,Heidi Hellesvik Ringstad
25/02040,T35,Telemark og Vestfold,,Herøya Nett As,Nordic Electrofuel AS,Hydrogen/ammoniakk,20.03.2025,10,30.12.2028,,Geir Kåsa
25/02042,Kjelland,Sør Rogaland og Agder,NO2,Lnett AS,Kaupanes Hydrogen AS,Hydrogen/ammoniakk,20.02.2025,13,15.11.2027,,Ingvild Grøtterud Birkeland
25/02047,Ålfoten,Sogn og Sunnmøre,NO3,Linja AS,SMART SALMON FOODS AS,Oppdrettsnæring,21.11.2024,6,01.04.2028,,Hans Olav Ween
25/02058,Balsfjord,Nord,NO4,Arva AS,Northern DC AS,Datasenter,14.01.2025,8,27.02.2032,,Lars Erik Johansen
25/02062,Ringerike,Hallingdal og Ringerike,NO1,Glitre Nett AS,ASP Data Center AS,Datasenter,12.02.2025,35,03.11.2025,,Heidi Hellesvik Ringstad
25/02068,Tveiten,Telemark og Vestfold,NO2,Lede AS,Bonum prosjekt 113 AS,Datasenter,01.09.2025,25,29.06.2029,,Geir Kåsa
25/02070,Minne,Innlandet,NO1,Elvia As,NGB - Datasenter fase 2,Datasenter,24.03.2025,4,30.12.2025,,Heidi Hellesvik Ringstad
25/02075,Skaidi,Nord,NO4,Area Nett AS,Pelagia,Datasenter,09.04.2025,10,02.11.2025,,Lars Erik Johansen
25/02078,Salten transformatorstasjon,Helgeland og Salten,NO4,Arva AS,ISE Utvikling AS,Hydrogen/ammoniakk,17.11.2023,5,31.12.2026,,Ingvild Grøtterud Birkeland
25/02082,Kristiansand,Sør Rogaland og Agder,NO2,Glitre Nett AS,Agder Hydrogen Hub,Hydrogen/ammoniakk,21.11.2024,40,01.12.2028,,Geir Kåsa
