navn,nveNetbasID,spenning_kV,driftsattaar,eier,lat,lon
S1H RØD SEKUNDÆRSTASJON,,,,NORGESNETT AS,59.07572944165023,10.938584829608173
,,,,,59.06458131892325,5.932125787206299
RAMFOSS,77411,,2016,MIDTKRAFT STRØM AS,60.08311304489452,9.816645909163201
,,,,,58.809167286617736,5.7301771371621015
RØNNINGEN TRANSFORMATORSTASJON,80640,,1976,INEOS BAMBLE AS,59.082488709824645,9.617010179419896
EIKLI-T,79765,,2001,GLITRE ENERGI NETT AS,60.152689582079404,10.24766333292167
,,,,,59.110165211630765,5.698388615565164
,,,,,58.64396251875742,5.670103440497721
S1F OREDALEN,,,1973,NORGESNETT AS,59.22591919412094,10.935050506817687
MARTIN LINGE,77477,,2015,EQUINOR ASA,60.55242269156835,4.84653304774936
T-AVGREINING LINJE STORFORSHEI,79757,,1964,MIP INDUSTRINETT AS,66.40110498555352,14.48102001457733
AT BLÅLYNGEN,,,2010,LOFOTKRAFT AS,68.32334132285762,14.462487248727658
TJELE,74834,,,SYSTEMANSVARLIG,56.61931442354383,9.491716224914047
,,,,,58.89289420157506,5.731988858067529
ASLAKSRUD-T,80498,,1976,GLITRE ENERGI NETT AS,60.22049971846629,10.378906192690202
,,,,,59.059715119324444,6.6639656333542465
,,,,,58.829866754195386,5.741319753642679
RAMSUND TRANSFORMATORSTASJON,,,1983,HÅLOGALAND KRAFT NETT AS,68.49648751776976,16.51971812666874
,,,,,58.524002173890146,5.8360564101356
,,,,,58.96360267728831,5.651597882199012
BRUMMUNDDAL TRST,,,1983,ELVIA AS,60.87852784514019,10.95471291512455
M584,83561,,1958,NORDKYN KRAFTLAG SA,70.88342864329418,27.657489343454777
FYRHUS,77453,,1978,NORSKE SKOG SAUGBRUGS AS,59.12486442980746,11.401460457063072
TRANBY-T,80511,,2014,GLITRE ENERGI NETT AS,59.83130562833439,10.297360265073001
SEM,80072,,1927,GLITRE ENERGI NETT AS,59.76033123980744,9.891663076998404
ØYRAVATNET,79759,,2012,LINJA AS,61.459820678695074,5.319421768418139
,,,,,58.74479625501456,5.658720498912813
OSFALLET KRV,,,,ELVIA AS,61.201522116910574,11.506040919419824
AM VÅRSETØYA,,,1989,LOFOTKRAFT AS,68.22975815162754,14.559175691829564
BEGNA TRST,,,2005,ELVIA AS,60.64852647060419,9.897452152557907
KRUBBA-T,79774,,1967,GLITRE ENERGI NETT AS,59.77814671369436,10.382661174138937
RUDSHØGDA MOBIL OMFORMER NR. 103,81513,,2016,BANE NOR SF,60.916008104064126,10.820747825454086
