saksnr,stasjon,omradeplan,prisomrade,statnetts_kunde,sluttkunde,naringstype,reservert_mw,reservert_dato,onsket_tilknytning,kundens_referanse,kunde_og_tilknytningsansvarlig
22/00709,Stord,Bergen og Haugalandet,NO2,Fagne AS,Alsaker Fjordbruk Øyerhamn Unitech og VGS Espevær,Oppdrettsnæring,8.0,2020-12-10,2027-12-29,,Magnus Tennøe
22/00708,Adamselv,Nord,NO4,Area Nett AS,Grieg Seafood,Oppdrettsnæring,8.0,2023-03-23,2025-12-31,,Lars Erik Johansen
23/01210,Hasle,"Oslo, Akershus og Østfold",NO1,Elvia As,Frevar KF,Industri,8.0,2025-05-12,2030-12-30,,Heidi Hellesvik Ringstad
24/01509,Hamang,"Oslo, Akershus og Østfold",NO1,Elvia As,Oslofjord Varme AS,Annet forbruk,8.0,2024-10-16,2026-12-30,,Heidi Hellesvik Ringstad
24/01886,Rjukan,Telemark og Vestfold,NO2,Lede AS,Statkraft,Annet forbruk,8.0,2025-02-12,2030-09-29,,Geir Kåsa
24/01490,Furuset,"Oslo, Akershus og Østfold",NO1,Elvia As,Nye Aker sykehus,Annet forbruk,7.8,2024-02-12,2027-03-30,,Heidi Hellesvik Ringstad
22/00685,Kvitfossen,Nord,NO4,Elmea AS,Oppdrett,Industri,7.5,2023-01-19,2026-11-30,,Lars Erik Johansen
23/01116,Aura,Midt,NO3,Hydro Aluminium As,Hydro Aluminium AS,Industri,7.5,2024-03-14,2028-12-31,,Christopher Aarnseth Ruud
25/02107,Salten transformatorstasjon,Helgeland og Salten,NO4,Arva AS,Arctic Sapphire,Industri,7.0,2019-06-02,2026-06-29,,Ingvild Grøtterud Birkeland
23/00927,Vardal,Innlandet,NO1,Elvia As,Nammo Raufoss AS,Industri,7.0,2023-06-04,2025-11-06,,Heidi Hellesvik Ringstad
22/00700,Ogndal,Midt,NO3,Tensio AS,MM Follacell,Industri,7.0,2025-03-14,2029-10-01,,Christopher Aarnseth Ruud
23/01198,Høyanger,Sogn og Sunnmøre,NO3,Linja AS,Hydro Aluminium AS,Industri,7.0,2025-11-16,2026-01-29,,Hans Olav Ween
23/01232,Ulven,"Oslo, Akershus og Østfold",NO1,Elvia As,HAFSLUND CELSIO AS,Annet forbruk,7.0,2024-11-18,2030-06-29,,Heidi Hellesvik Ringstad
23/00924,Midtfjellet,Bergen og Haugalandet,NO2,Fagne AS,Bolaks AS,Oppdrettsnæring,6.9,2023-11-23,2027-12-30,,Magnus Tennøe
21/00333,Strinda,Midt,NO3,Tensio AS,NTNU Tyholt Marin center,Industri,6.6,2021-05-21,2027-12-30,,Christopher Aarnseth Ruud
25/02313,Fagrafjell,Sør Rogaland og Agder,NO2,Lnett AS,GreenH Fiskå,Hydrogen/ammoniakk,6.5,2024-05-27,2025-12-31,,Ingvild Grøtterud Birkeland
23/01213,Nedre Vinstra,Innlandet,NO1,Vevig As,Driva Aquaculture AS,Industri,6.5,2024-06-27,2027-06-29,,Heidi Hellesvik Ringstad
25/02038,Salten transformatorstasjon,Helgeland og Salten,NO4,Arva AS,AVINOR AS,Transport,6.5,2023-06-29,2027-09-29,,Ingvild Grøtterud Birkeland
21/00434,Svartisen,Helgeland og Salten,NO4,Arva AS,Helgeland Smolt AS,Oppdrettsnæring,6.3,2023-06-30,2028-09-29,,Ingvild Grøtterud Birkeland
24/01620,Smestad,"Oslo, Akershus og Østfold",NO1,Elvia As,Oslo Kommune Fornebubanen,Transport,6.2,2024-10-23,2028-06-29,,Heidi Hellesvik Ringstad
24/01627,Kjelland,Sør Rogaland og Agder,NO2,Lnett AS,Kaupanes Hydrogen AS,Hydrogen/ammoniakk,6.0,2024-06-27,2027-06-30,,Ingvild Grøtterud Birkeland
23/01246,Grenland,Telemark og Vestfold,NO2,Herøya Nett As,LanzaTech,Industri,6.0,2025-04-10,2027-12-31,,Geir Kåsa
23/01371,Frogner,"Oslo, Akershus og Østfold",NO1,Elvia As,RUTER AS,Transport,6.0,2025-04-25,2028-09-29,,Heidi Hellesvik Ringstad
